№,Oyuncu,Takım,Index,Oynadığı süre,Pozisyon,Gol,Gol pasları,Gollük hatalar,Mistakes,"Gol pozisyonları, başarılı","Chances successful, %",Gol Pozisyonları,Gol hücumlarında oyun,Şut,İsabetli Şut,Sarı Kartlar,Kırmızı Kartlar,Faul,Yapılan Fauller,Paslar,"Paslar adresi bulanlar, %",Kilit Pas,"Key passes accurate, %",Orta,"İsabetli ortalar, %",Progressive passes,"Progressive passes accurate, %",Progressive open passes,Uzun paslar,"Uzun paslar, isabetli, %",Super long passes,"Super long passes accurate, %",Passes forward (120 degrees) to the final third,"Passes forward (120 degrees) to the final third accurate, %",Ceza sahasına orta,"Passes into the penalty box accurate, %",Passes for a shot,İkili mücadeleler,Başarılı ikili mücadele %,Savunmada ikili mücadeleler,"Savunmada kazanılan ikili mücadele, %",Hücumda ikili mücadeleler,"Hücumda başarılı ikili mücadele, %",Havada Hamleler,"Başarılı hava topu mücadelesi, %",Driplingler,"Başarılı driplingleri, %",Dribbling in the final third,"Dribbling in the final third successful, %",Top Kapma,"Başarılı Top Kapma, %",Pas Arası,Sahipsiz top kapma,xG,Tüm Hareketler,Actions successful,"Actions successful, %",Başarısız eylemler,Rakip ceza sahasında hareketler,Actions in opponent box successful,"Actions in opponent box successful, %","Shots on target, %",İsabetsiz Şutlar,Engellenen Şutlar,Header,Direkten dönen şutlar,Final third entries,Final third entries through pass,"Final third entries through pass, % of total",Final third entries through carry,"Final third entries through carry, % of total",Top kayıpları,Top kayıpları / kendi yarı sahasında,Lost balls after passes,Bireysel top kayıpları,Challenges unsuccessful,Dribbles unsuccessful,Kötü top kontrolü,Ofsaytlar,Ball recoveries,Rakip sahada geri kazanılan toplar,Driplingler,Paslar adresi bulanlar,Key passes accurate,Crosses accurate,Progressive passes accurate,Uzun paslar - isabetli,Super long passes accurate,Passes forward (120 degrees) to the final third accurate,Ceza sahasına / İsabetli,Challenges won,Savunmada başarılı ikili mücadeleler,Hücumda ikili mücadele / Başarılı,Başarılı hava topu mücadeleleri,Başarılı driplingler,Dribbling in the final third successful,Başarılı Top Kapma,xA,Şut başına xG,Gol başına xG,xG dönüştürme,Pozisyonlar,xGT,xGOPP,NxG,xGD,xGDPS
23,Lionel Carole,Kayserispor,182,65,LD,-,-,-,-,-,-,-,-,-,-,-,-,1,-,29,0.93,-,-,-,-,4,0.75,2,2,1,1,1,4,0.75,-,-,-,4,0.5,2,0.5,2,0.5,2,0.5,1,1,-,-,1,0,1,2,-,37,32,0.86,5,-,-,-,-,-,-,-,-,2,2,1,-,0,1,-,1,-,2,0,1,-,2,-,-,27,-,-,3,2,1,3,-,2,1,1,1,1,-,-,-,-,-,-,-,0.32,0.58,-0.26,-,-
3,Jerome Opoku,İstanbul Başakşehir FK,178,97,LCD,-,-,-,-,-,-,-,-,-,-,-,-,1,-,49,0.92,-,-,-,-,6,0.67,2,2,0.5,-,-,1,1,-,-,-,7,0.43,6,0.33,1,1,3,0,-,-,-,-,1,1,6,2,-,69,59,0.86,10,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,-,4,-,2,-,3,-,3,45,-,-,4,1,-,1,-,3,2,1,-,-,-,1,-,-,-,-,-,1.22,0.51,0.71,0.17,0.09
28,Ramazan Civelek,Kayserispor,174,87,RAM,-,-,1,1,-,-,1,-,1,-,-,-,2,6,25,0.8,1,1,3,0,1,1,1,1,0,1,0,-,-,1,1,1,16,0.5,8,0.38,8,0.63,6,0.67,2,0.5,1,0,3,0,2,7,0.06,55,40,0.73,15,2,-,0,0,-,1,-,-,-,-,-,-,-,5,2,3,2,8,1,-,-,1,-,3,20,1,-,1,-,-,-,1,8,3,5,4,1,-,-,0.12,0.06,-,0,-,0.32,0.7,-0.38,-,-
6,Semih Güler,Kayserispor,171,32,RCD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,0.87,-,-,-,-,7,0.71,4,4,0.5,3,0.33,3,0.33,1,0,-,4,0.75,4,0.75,-,-,3,1,-,-,-,-,-,-,1,2,-,30,26,0.87,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,5,-,-,20,-,-,5,2,1,1,-,3,3,-,3,-,-,-,-,-,-,-,-,0.19,0.64,-0.45,-,-
11,Abbosbek Fayzullaev,İstanbul Başakşehir FK,168,83,RM,-,-,-,-,-,-,-,-,2,1,-,-,2,1,31,0.61,-,-,4,0,5,0.4,2,-,-,-,-,-,-,9,0.11,-,11,0.36,5,0.4,6,0.33,5,0.4,2,0.5,1,1,3,0.33,2,1,0.14,49,29,0.59,20,6,3,0.5,0.5,1,-,-,-,4,2,0.5,2,0.5,8,1,7,1,7,1,-,-,1,1,2,19,-,-,2,-,-,-,1,4,2,2,2,1,1,1,0.04,0.07,-,0,-,0.7,0.32,0.38,-,-
33,Furkan Soyalp,Kayserispor,168,73,LCDM,-,-,-,1,-,0,1,-,1,1,1,-,2,3,25,0.8,-,-,1,0,5,0.8,4,3,0.67,1,0,2,0.5,2,0.5,-,18,0.56,12,0.42,6,0.8300000000000001,3,0.67,2,0.5,2,0.5,8,0.25,2,6,0.07,53,40,0.75,13,1,1,1,1,-,-,1,-,2,2,1,-,0,4,-,3,1,8,1,-,-,4,1,1,20,-,-,4,2,-,1,1,10,5,5,2,1,1,2,0.12,0.07,-,0,1,0.32,0.68,-0.36,-,-
8,László Bénes,Kayserispor,167,97,RCDM,-,-,-,-,-,-,1,-,-,-,-,-,1,1,40,0.78,1,1,1,1,10,0.5,4,5,0.2,-,-,5,0.6,4,0.5,2,8,0.25,6,0.33,2,0,3,0.33,-,-,-,-,4,0.25,5,3,-,57,41,0.72,16,1,-,0,-,-,-,-,-,3,2,0.67,1,0.33,8,1,6,2,6,-,1,-,8,6,-,31,1,1,5,1,-,3,2,2,2,-,1,-,-,1,0.12,-,-,-,-,0.51,1.22,-0.71,-,-
4,Onur Ergün,İstanbul Başakşehir FK,167,13,LCDM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,1,-,-,-,-,2,1,1,2,1,-,-,1,1,-,-,-,2,0.5,1,0,1,1,1,1,-,-,-,-,1,0,1,1,-,16,15,0.9400000000000001,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,12,-,-,2,2,-,1,-,1,-,1,1,-,-,-,-,-,-,-,-,0.52,0.19,0.33,-,-
15,Youssef Aït Bennasser,Kayserispor,165,97,RCD,-,-,-,-,-,-,-,-,1,1,-,-,-,1,54,0.87,-,-,-,-,10,0.6,5,1,1,1,1,4,0.75,1,0,-,8,0.38,6,0.33,2,0.5,2,0.5,-,-,-,-,3,0.33,6,5,0.03,75,62,0.8300000000000001,13,-,-,-,1,-,-,-,-,3,3,1,-,0,4,2,4,-,5,-,1,-,4,1,-,47,-,-,6,1,1,3,-,3,2,1,1,-,-,1,-,0.03,-,0,-,0.51,1.22,-0.71,0.08,0.08
22,Indrit Tuci,Kayserispor,165,24,RCM,-,-,-,-,-,0,-,-,1,1,-,-,1,1,5,0.6,-,-,-,-,1,0,-,-,-,-,-,1,0,1,0,-,4,0,-,-,4,0,3,0,1,0,1,0,-,-,2,-,0.04,12,6,0.5,6,2,1,0.5,1,-,-,1,-,-,-,-,-,-,4,-,1,3,4,1,-,-,1,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,-,0,1,0.19,0.54,-0.35,-,-
7,Miguel Cardoso,Kayserispor,162,97,LAM,-,-,-,-,-,-,-,-,1,-,-,-,-,2,29,0.55,-,-,8,0.13,4,0.25,-,1,1,-,-,2,0.5,11,0.27,2,11,0.36,3,0,8,0.5,4,0.5,2,0.5,1,1,2,0,-,2,0.05,48,26,0.54,22,-,-,-,0,-,1,-,-,2,-,0,2,1,10,3,4,6,7,1,1,1,-,-,4,16,-,1,1,1,-,1,3,4,-,4,2,1,1,-,0.14,0.05,-,0,-,0.51,1.22,-0.71,-,-
10,João Mendes,Kayserispor,159,65,CAM,-,-,-,-,-,-,-,-,1,-,-,-,-,1,20,0.65,-,-,2,0,1,0,-,1,1,-,-,-,-,3,0.33,2,6,0.33,5,0.4,1,0,-,-,-,-,-,-,5,0.4,1,3,0.02,33,20,0.61,13,2,1,0.5,0,-,1,-,-,2,2,1,-,0,5,2,3,2,4,-,1,-,1,-,1,13,-,-,-,1,-,-,1,2,2,-,-,-,-,2,0.17,0.02,-,0,-,0.32,0.58,-0.26,-,-
30,Aaron Opoku,Kayserispor,155,97,RD,-,-,1,1,-,-,-,-,-,-,-,-,-,-,33,0.73,1,0,3,0,6,0.5,2,3,0,2,0,3,0.33,3,0.33,-,10,0.3,3,0,7,0.43,-,-,3,0.33,2,0,1,0,3,5,-,54,38,0.7000000000000001,16,-,-,-,-,-,-,-,-,2,1,0.5,1,0.5,6,1,4,2,7,2,-,1,4,1,3,24,-,-,3,-,-,1,1,3,-,3,-,1,-,-,-,-,-,-,-,0.51,1.22,-0.71,-,-
20,Carlos Mané,Kayserispor,148,32,RAM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,0.92,-,-,1,0,3,1,2,1,1,-,-,2,1,1,0,-,5,0.2,5,0.2,-,-,-,-,-,-,-,-,3,0,3,3,-,25,20,0.8,5,-,-,-,-,-,-,-,-,1,1,1,-,0,-,-,-,-,4,-,-,-,5,1,-,12,-,-,3,1,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,0.19,0.64,-0.45,-,-
4,Stefano Denswil,Kayserispor,148,97,LCD,-,-,2,2,-,-,-,-,1,-,-,-,1,-,47,0.85,-,-,-,-,11,0.64,5,6,0.5,3,0.33,7,0.43,-,-,-,9,0.56,8,0.5,1,1,4,0.5,-,-,-,-,4,0.5,5,1,0.12,66,54,0.8200000000000001,12,2,1,0.5,0,1,-,1,-,2,2,1,-,0,4,-,4,-,4,-,-,-,3,-,3,40,-,-,7,3,1,3,-,5,4,1,2,-,-,2,-,0.12,-,0,-,0.51,1.22,-0.71,-,-
9,German Onugkha,Kayserispor,139,87,CF,-,-,-,1,-,0,-,-,1,-,-,-,-,1,6,0.8300000000000001,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0.25,2,0,6,0.33,1,1,-,-,-,-,1,0,1,1,0.12,17,9,0.53,8,3,1,0.33,0,-,1,-,-,-,-,-,-,-,6,-,1,5,6,-,-,1,-,-,-,5,-,-,-,-,-,-,-,2,-,2,1,-,-,-,-,0.12,-,0,1,0.32,0.7,-0.38,-,-
77,Ivan Brnić,İstanbul Başakşehir FK,-,6,LM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0.5,-,-,1,0,-,-,-,-,-,-,-,-,-,1,0,-,1,1,-,-,1,1,-,-,1,1,1,1,-,-,-,-,-,4,3,0.75,1,-,-,-,-,-,-,-,-,1,-,0,1,1,1,-,1,-,0,0,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,1,-,1,1,-,-,-,-,-,-,0.34,0.16,0.18,-,-
11,Samuel Mather,Kayserispor,-,10,LAM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,1,1,1,-,-,-,-,1,1,-,-,-,2,0.5,1,1,1,0,-,-,-,-,-,-,1,1,1,1,-,7,6,0.86,1,-,-,-,-,-,-,-,-,1,1,1,-,0,-,-,-,-,1,-,-,-,2,1,-,3,-,-,1,-,-,1,-,1,1,-,-,-,-,1,0.04,-,-,-,-,0.19,0.52,-0.33,-,-
99,Talha Sarıarslan,Kayserispor,-,10,RAM,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,3,0.67,1,0,2,1,2,0.5,1,1,-,-,-,-,-,-,-,5,4,0.8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-,2,-,-,1,-,-,-,-,2,-,2,1,1,-,-,-,-,-,-,-,0.19,0.52,-0.33,-,-
91,Bertuğ Yıldırım,İstanbul Başakşehir FK,-,13,LCF,-,-,-,-,-,0,-,-,1,1,-,-,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0.5,-,-,4,0.5,2,1,1,0,1,0,-,-,1,-,0.34,7,4,0.5700000000000001,3,2,2,1,1,-,-,1,-,-,-,-,-,-,1,-,1,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,0.34,-,0,1,0.52,0.19,0.33,-,-
