№,Oyuncu,Takım,Index,Oynadığı süre,Pozisyon,Gol,Gol pasları,Gollük hatalar,Mistakes,"Gol pozisyonları, başarılı","Chances successful, %",Gol Pozisyonları,Gol hücumlarında oyun,Şut,İsabetli Şut,Sarı Kartlar,Kırmızı Kartlar,Faul,Yapılan Fauller,Paslar,"Paslar adresi bulanlar, %",Kilit Pas,"Key passes accurate, %",Orta,"İsabetli ortalar, %",Progressive passes,"Progressive passes accurate, %",Progressive open passes,Uzun paslar,"Uzun paslar, isabetli, %",Super long passes,"Super long passes accurate, %",Passes forward (120 degrees) to the final third,"Passes forward (120 degrees) to the final third accurate, %",Ceza sahasına orta,"Passes into the penalty box accurate, %",Passes for a shot,İkili mücadeleler,Başarılı ikili mücadele %,Savunmada ikili mücadeleler,"Savunmada kazanılan ikili mücadele, %",Hücumda ikili mücadeleler,"Hücumda başarılı ikili mücadele, %",Havada Hamleler,"Başarılı hava topu mücadelesi, %",Driplingler,"Başarılı driplingleri, %",Dribbling in the final third,"Dribbling in the final third successful, %",Top Kapma,"Başarılı Top Kapma, %",Pas Arası,Sahipsiz top kapma,xG,Tüm Hareketler,Actions successful,"Actions successful, %",Başarısız eylemler,Rakip ceza sahasında hareketler,Actions in opponent box successful,"Actions in opponent box successful, %","Shots on target, %",İsabetsiz Şutlar,Engellenen Şutlar,Header,Direkten dönen şutlar,Final third entries,Final third entries through pass,"Final third entries through pass, % of total",Final third entries through carry,"Final third entries through carry, % of total",Top kayıpları,Top kayıpları / kendi yarı sahasında,Lost balls after passes,Bireysel top kayıpları,Challenges unsuccessful,Dribbles unsuccessful,Kötü top kontrolü,Ofsaytlar,Ball recoveries,Rakip sahada geri kazanılan toplar,Driplingler,Paslar adresi bulanlar,Key passes accurate,Crosses accurate,Progressive passes accurate,Uzun paslar - isabetli,Super long passes accurate,Passes forward (120 degrees) to the final third accurate,Ceza sahasına / İsabetli,Challenges won,Savunmada başarılı ikili mücadeleler,Hücumda ikili mücadele / Başarılı,Başarılı hava topu mücadeleleri,Başarılı driplingler,Dribbling in the final third successful,Başarılı Top Kapma,xA,Şut başına xG,Gol başına xG,xG dönüştürme,Pozisyonlar,xGT,xGOPP,NxG,xGD,xGDPS
34,Lucas Torreira,Galatasaray,192,46,RCDM,-,-,-,-,-,-,-,-,-,-,-,-,1,-,40,0.9,-,-,-,-,4,1,4,-,-,-,-,2,1,-,-,-,5,0.6,4,0.75,1,0,-,-,-,-,-,-,3,0.67,1,5,-,52,45,0.87,7,-,-,-,-,-,-,-,-,2,2,1,-,0,2,-,-,2,2,-,1,-,2,1,-,36,-,-,4,-,-,2,-,3,3,-,-,-,-,2,-,-,-,-,-,0.72,0.39,0.33,-,-
4,Ismail Jakobs,Galatasaray,190,65,LD,-,-,-,-,-,-,-,-,-,-,1,-,1,1,49,0.8,-,-,4,0.25,7,0.71,3,-,-,-,-,2,0.5,7,0.14,-,12,0.58,7,0.5700000000000001,5,0.6,2,0.5,2,0,1,0,1,0,5,2,-,71,55,0.77,16,-,-,-,-,-,-,-,-,4,2,0.5,2,0.5,8,1,6,2,5,2,1,-,4,-,2,39,-,1,5,-,-,1,1,7,4,3,1,-,-,-,0.03,-,-,-,-,1.25,0.42,0.83,-,-
53,Barış Alper Yılmaz,Galatasaray,187,94,LAM,-,-,-,-,-,-,-,1,-,-,1,-,2,1,45,0.8,-,-,5,0,3,0,-,-,-,-,-,1,1,9,0.22,2,14,0.29,5,0.4,9,0.22,3,0.33,3,0.33,1,0,4,0.5,2,6,-,70,51,0.73,19,4,2,0.5,-,-,-,-,-,2,-,0,2,1,5,1,3,2,10,2,-,-,3,-,3,36,-,-,-,-,-,1,2,4,2,2,1,1,-,2,0.08,-,-,-,-,1.44,0.79,0.65,-,-
4,Davide Biraschi,Fatih Karagümrük,186,94,RCD,-,-,1,2,-,-,-,-,-,-,-,-,-,1,36,0.8300000000000001,-,-,-,-,12,0.67,7,1,0,-,-,3,0.67,-,-,-,8,0.88,8,0.88,-,-,5,0.8,-,-,-,-,1,1,10,5,-,61,54,0.89,7,-,-,-,-,-,-,-,-,2,2,1,-,0,5,1,5,-,1,-,-,-,13,2,1,30,-,-,8,-,-,2,-,7,7,-,4,-,-,1,-,-,-,-,-,0.79,1.44,-0.65,0.56,0.28
14,Marius Tresor Doh,Fatih Karagümrük,182,65,RCDM,-,-,-,-,-,-,-,-,-,-,-,-,1,1,29,0.79,1,0,1,0,12,0.5,3,2,0,-,-,5,0.8,2,0,-,6,0.67,2,0.5,4,0.75,2,0,1,1,-,-,1,1,3,5,-,44,36,0.8200000000000001,8,1,-,0,-,-,-,-,-,1,1,1,-,0,5,-,4,1,2,0,-,-,-,-,-,23,-,-,6,-,-,4,-,4,1,3,-,1,-,1,-,-,-,-,-,0.42,1.25,-0.83,-,-
8,Berkay Özcan,Fatih Karagümrük,177,94,LCDM,-,-,-,-,-,-,-,-,1,-,-,-,1,1,55,0.91,-,-,-,-,13,0.85,9,1,1,-,-,9,0.78,2,0.5,-,6,0.5,2,0.5,4,0.5,2,0.5,1,1,-,-,-,-,5,2,0.02,71,61,0.86,10,-,-,-,0,1,-,-,-,8,5,0.63,3,0.38,6,3,3,3,3,0,1,-,5,2,1,50,-,-,11,1,-,7,1,3,1,2,1,1,-,-,-,0.02,-,0,-,0.79,1.44,-0.65,0.12,0.06
99,Mario Lemina,Galatasaray,176,48,CDM,-,-,-,1,-,-,-,2,-,-,-,-,-,-,41,0.98,-,-,-,-,6,1,6,1,1,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,49,48,0.98,1,-,-,-,-,-,-,-,-,1,1,1,-,0,-,-,-,-,-,-,-,-,2,1,3,40,-,-,6,1,-,2,-,-,-,-,-,-,-,-,0.33,-,-,-,-,0.72,0.4,0.32,0.31,0.16
11,Yunus Akgün,Galatasaray,174,65,RAM,-,-,-,-,-,-,-,-,-,-,-,-,-,1,23,0.87,1,0,1,0,2,1,1,2,1,-,-,1,1,-,-,-,7,0.43,6,0.33,1,1,-,-,-,-,-,-,4,0.5,2,1,-,36,27,0.75,9,1,-,0,-,-,-,-,-,-,-,-,-,-,1,-,-,1,4,-,2,-,-,-,-,20,-,-,2,2,-,1,-,3,2,1,-,-,-,2,-,-,-,-,-,1.25,0.42,0.83,-,-
23,Kaan Ayhan,Galatasaray,172,14,RCDM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,0.92,1,0,-,-,4,0.75,3,-,-,-,-,1,1,1,0,-,1,0,1,0,-,-,-,-,-,-,-,-,1,0,1,-,-,14,12,0.86,2,-,-,-,-,-,-,-,-,1,1,1,-,0,-,-,-,-,1,-,-,-,1,-,-,11,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.2,-0.1,-,-
70,Serginho,Fatih Karagümrük,167,65,LCF,-,1,-,-,-,-,-,1,1,-,-,-,-,2,8,0.63,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,0.45,2,0.5,9,0.44,2,0.5,-,-,-,-,2,0.5,-,1,0.06,21,11,0.52,10,1,1,1,0,-,1,-,-,-,-,-,-,-,3,-,-,3,6,-,-,2,-,-,-,5,1,-,-,-,-,-,-,5,1,4,1,-,-,1,0.19,0.06,-,0,-,0.42,1.25,-0.83,-,-
