team_raw,action,start,end,half,pos_x,pos_y,source_layer
Caykur Rizespor (62850),Başarılı İleri Paslar,48.55,60.55,1,79.03,0.0,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),48.55,60.55,1,79.03,0.0,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,48.55,60.55,1,79.03,0.0,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),49.55,61.55,1,85.36,5.35,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,49.55,61.55,1,85.36,5.35,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),50.55,62.55,1,79.74,2.46,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,50.55,62.55,1,79.74,2.46,(2)_timeline
Caykur Rizespor (62850),Set Hücumları,52.55,61.55,1,79.03,0.0,(2)_timeline
Caykur Rizespor (62850),Başarısız Ceza Sahasına Paslar,52.55,64.55,1,74.84,9.69,(2)_timeline
Caykur Rizespor (62850),Başarısız İleri Paslar,52.55,64.55,1,74.84,9.69,(2)_timeline
Caykur Rizespor (62850),Başarısız İlerletici Paslar,52.55,64.55,1,74.84,9.69,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),52.55,64.55,1,74.84,9.69,(2)_timeline
Caykur Rizespor (62850),İsabetsiz Ortalar,52.55,64.55,1,74.84,9.69,(2)_timeline
Caykur Rizespor (62850),İsabetsiz paslar,52.55,64.55,1,74.84,9.69,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,53.55,65.55,1,12.23,30.96,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),53.55,65.55,1,12.23,30.96,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,53.55,65.55,1,12.23,30.96,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,55.55,67.55,1,26.45,34.64,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),55.55,67.55,1,26.45,34.64,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,55.55,67.55,1,26.45,34.64,(2)_timeline
Caykur Rizespor (62850),Başarılı Top Kapma,58.55,70.55,1,37.21,38.46,(2)_timeline
Caykur Rizespor (62850),Başarılı İkili Mücadeleler,58.55,70.55,1,37.21,38.46,(2)_timeline
Galatasaray (29205),Başarısız Driplingler,58.55,70.55,1,37.21,38.46,(2)_timeline
Galatasaray (29205),Başarısız İkili Mücadeleler,58.55,70.55,1,37.21,38.46,(2)_timeline
Caykur Rizespor (62850),Başarılı İkili Mücadeleler,59.55,71.55,1,58.24,23.23,(2)_timeline
Galatasaray (29205),Başarısız İkili Mücadeleler,59.55,71.55,1,58.24,23.23,(2)_timeline
Caykur Rizespor (62850),Set Hücumları,59.55,81.55,1,26.45,34.64,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),61.55,73.55,1,51.31,25.73,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,61.55,73.55,1,51.31,25.73,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),63.55,75.55,1,40.91,32.83,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,63.55,75.55,1,40.91,32.83,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),64.55,76.55,1,39.83,45.59,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,64.55,76.55,1,39.83,45.59,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,70.55,82.55,1,12.83,33.62,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),70.55,82.55,1,12.83,33.62,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,70.55,82.55,1,12.83,33.62,(2)_timeline
Caykur Rizespor (62850),İsabetli İlerletici Paslar,70.55,82.55,1,12.83,33.62,(2)_timeline
Galatasaray (29205),Başarılı İkili Mücadeleler,73.55,85.55,1,60.63,10.71,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,73.55,85.55,1,60.63,10.71,(2)_timeline
Caykur Rizespor (62850),Başarısız İkili Mücadeleler,73.55,85.55,1,60.63,10.71,(2)_timeline
Galatasaray (29205),Geri Kazanılan Toplar,73.55,85.55,1,60.63,10.71,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),73.55,85.55,1,60.63,10.71,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,73.55,85.55,1,60.63,10.71,(2)_timeline
Galatasaray (29205),Rakip sahada geri kazanılan toplar,73.55,85.55,1,60.63,10.71,(2)_timeline
Caykur Rizespor (62850),Top Kaybı,73.55,85.55,1,44.37,57.29,(2)_timeline
Caykur Rizespor (62850),Top kayıpları / kendi yarı sahasında,73.55,85.55,1,44.37,57.29,(2)_timeline
Galatasaray (29205),İsabetli İlerletici Paslar,73.55,85.55,1,60.63,10.71,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),75.55,87.55,1,74.13,9.92,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,75.55,87.55,1,74.13,9.92,(2)_timeline
Galatasaray (29205),Set Hücumları,77.55,100.55,1,60.63,10.71,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,78.55,90.55,1,70.3,11.24,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),78.55,90.55,1,70.3,11.24,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,78.55,90.55,1,70.3,11.24,(2)_timeline
Galatasaray (29205),İsabetli İlerletici Paslar,78.55,90.55,1,70.3,11.24,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),80.55,92.55,1,79.38,4.27,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,80.55,92.55,1,79.38,4.27,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),81.55,93.55,1,69.23,8.08,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,81.55,93.55,1,69.23,8.08,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),84.55,96.55,1,55.73,12.03,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,84.55,96.55,1,55.73,12.03,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),87.55,99.55,1,44.85,50.82,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,87.55,99.55,1,44.85,50.82,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,90.55,102.55,1,47.96,64.62,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),90.55,102.55,1,47.96,64.62,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,90.55,102.55,1,47.96,64.62,(2)_timeline
