team_raw,action,start,end,half,pos_x,pos_y,source_layer
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),806.55,818.55,1,66.96,6.93,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,806.55,818.55,1,66.96,6.93,(2)_timeline
Caykur Rizespor (62850),Set Hücumları,806.55,844.55,1,91.81,0.0,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),809.55,821.55,1,44.26,12.98,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,809.55,821.55,1,44.26,12.98,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),815.55,827.55,1,37.44,21.79,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,815.55,827.55,1,37.44,21.79,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,822.55,834.55,1,14.74,33.88,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),822.55,834.55,1,14.74,33.88,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,822.55,834.55,1,14.74,33.88,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,825.55,837.55,1,26.09,26.39,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),825.55,837.55,1,26.09,26.39,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,825.55,837.55,1,26.09,26.39,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),828.55,840.55,1,38.64,3.11,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,828.55,840.55,1,38.64,3.11,(2)_timeline
Caykur Rizespor (62850),Başarısız İleri Paslar,830.55,842.55,1,37.56,9.29,(2)_timeline
Caykur Rizespor (62850),Başarısız İlerletici Paslar,830.55,842.55,1,37.56,9.29,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),830.55,842.55,1,37.56,9.29,(2)_timeline
Caykur Rizespor (62850),İsabetsiz paslar,830.55,842.55,1,37.56,9.29,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),840.55,852.55,1,82.61,0.0,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,840.55,852.55,1,82.61,0.0,(2)_timeline
Caykur Rizespor (62850),İsabetli Şut,842.55,854.55,1,86.08,17.05,(2)_timeline
Caykur Rizespor (62850),Şut,842.55,854.55,1,86.08,17.05,(2)_timeline
Galatasaray (29205),Geri Kazanılan Toplar,843.55,855.55,1,2.08,37.01,(2)_timeline
Caykur Rizespor (62850),Set Hücumları,844.55,851.55,1,82.61,0.0,(2)_timeline
Caykur Rizespor (62850),Şutla biten set hücumları,844.55,851.55,1,82.61,0.0,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),853.55,865.55,1,14.62,34.51,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,853.55,865.55,1,14.62,34.51,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),857.55,869.55,1,26.45,49.37,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,857.55,869.55,1,26.45,49.37,(2)_timeline
Galatasaray (29205),Set Hücumları,857.55,897.55,1,14.62,34.51,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),867.55,879.55,1,31.95,31.36,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,867.55,879.55,1,31.95,31.36,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,870.55,882.55,1,40.55,47.14,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),870.55,882.55,1,40.55,47.14,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,870.55,882.55,1,40.55,47.14,(2)_timeline
Galatasaray (29205),İsabetli İlerletici Paslar,870.55,882.55,1,40.55,47.14,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),875.55,887.55,1,66.36,63.83,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,875.55,887.55,1,66.36,63.83,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),879.55,891.55,1,64.09,50.95,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,879.55,891.55,1,64.09,50.95,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),880.55,892.55,1,50.11,47.53,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,880.55,892.55,1,50.11,47.53,(2)_timeline
Galatasaray (29205),Top Taşıma,882.55,894.55,1,53.69,21.63,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),886.55,898.55,1,63.97,21.89,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,886.55,898.55,1,63.97,21.89,(2)_timeline
Galatasaray (29205),Başarısız Ceza Sahasına Paslar,888.55,900.55,1,73.89,9.92,(2)_timeline
Galatasaray (29205),Başarısız İleri Paslar,888.55,900.55,1,73.89,9.92,(2)_timeline
Galatasaray (29205),Başarısız İlerletici Paslar,888.55,900.55,1,73.89,9.92,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),888.55,900.55,1,73.89,9.92,(2)_timeline
Galatasaray (29205),Top Kaybı,888.55,900.55,1,89.66,26.89,(2)_timeline
Galatasaray (29205),İsabetsiz Ortalar,888.55,900.55,1,73.89,9.92,(2)_timeline
Galatasaray (29205),İsabetsiz paslar,888.55,900.55,1,73.89,9.92,(2)_timeline
Caykur Rizespor (62850),Geri Kazanılan Toplar,889.55,901.55,1,15.34,41.11,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),889.55,901.55,1,15.34,41.11,(2)_timeline
Caykur Rizespor (62850),Top Kaybı,889.55,901.55,1,22.15,68.0,(2)_timeline
Caykur Rizespor (62850),Top kayıpları / kendi yarı sahasında,889.55,901.55,1,22.15,68.0,(2)_timeline
Caykur Rizespor (62850),İsabetsiz paslar,889.55,901.55,1,15.34,41.11,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),896.55,908.55,1,82.49,0.0,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,896.55,908.55,1,82.49,0.0,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,898.55,910.55,1,70.78,7.82,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),898.55,910.55,1,70.78,7.82,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,898.55,910.55,1,70.78,7.82,(2)_timeline
Galatasaray (29205),İsabetli İlerletici Paslar,898.55,910.55,1,70.78,7.82,(2)_timeline
Galatasaray (29205),Set Hücumları,900.55,922.55,1,82.49,0.0,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),902.55,914.55,1,80.58,4.53,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,902.55,914.55,1,80.58,4.53,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),905.55,917.55,1,73.89,11.5,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,905.55,917.55,1,73.89,11.5,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,910.55,922.55,1,62.42,12.68,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),910.55,922.55,1,62.42,12.68,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,910.55,922.55,1,62.42,12.68,(2)_timeline
Galatasaray (29205),İsabetli İlerletici Paslar,910.55,922.55,1,62.42,12.68,(2)_timeline
Galatasaray (29205),Ceza sahasına / İsabetli,911.55,923.55,1,75.68,2.69,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),911.55,923.55,1,75.68,2.69,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,911.55,923.55,1,75.68,2.69,(2)_timeline
Caykur Rizespor (62850),Başarılı İkili Mücadeleler,914.55,926.55,1,14.5,33.09,(2)_timeline
Galatasaray (29205),Başarısız İkili Mücadeleler,914.55,926.55,1,14.5,33.09,(2)_timeline
Caykur Rizespor (62850),Geri Kazanılan Toplar,914.55,926.55,1,14.5,33.09,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),914.55,926.55,1,14.5,33.09,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,914.55,926.55,1,14.5,33.09,(2)_timeline
Galatasaray (29205),Top Kaybı,914.55,926.55,1,90.5,34.91,(2)_timeline
Caykur Rizespor (62850),Set Hücumları,918.55,943.55,1,14.5,33.09,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),929.55,941.55,1,7.57,31.25,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,929.55,941.55,1,7.57,31.25,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,931.55,943.55,1,8.41,36.78,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,931.55,943.55,1,8.41,36.78,(2)_timeline
Caykur Rizespor (62850),Uzun Kale Vuruşları (40+ mt),931.55,943.55,1,8.41,36.78,(2)_timeline
Caykur Rizespor (62850),Uzun paslar,931.55,943.55,1,8.41,36.78,(2)_timeline
Caykur Rizespor (62850),İsabetli İlerletici Paslar,931.55,943.55,1,8.41,36.78,(2)_timeline
Caykur Rizespor (62850),Başarılı hava topu mücadeleleri,934.55,946.55,1,41.87,8.5,(2)_timeline
Caykur Rizespor (62850),Başarılı İkili Mücadeleler,934.55,946.55,1,41.87,8.5,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,934.55,946.55,1,41.87,8.5,(2)_timeline
Galatasaray (29205),Başarısız İkili Mücadeleler,934.55,946.55,1,41.87,8.5,(2)_timeline
Galatasaray (29205),Kaybedilen hava topu mücadeleleri,934.55,946.55,1,41.87,8.5,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),934.55,946.55,1,41.87,8.5,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,934.55,946.55,1,41.87,8.5,(2)_timeline
Caykur Rizespor (62850),Başarılı hava topu mücadeleleri,935.55,947.55,1,49.99,16.13,(2)_timeline
Caykur Rizespor (62850),Başarılı İkili Mücadeleler,935.55,947.55,1,49.99,16.13,(2)_timeline
Galatasaray (29205),Başarısız İkili Mücadeleler,935.55,947.55,1,49.99,16.13,(2)_timeline
Galatasaray (29205),Faul,935.55,947.55,1,54.89,52.66,(2)_timeline
Galatasaray (29205),Kaybedilen hava topu mücadeleleri,935.55,947.55,1,49.99,16.13,(2)_timeline
Caykur Rizespor (62850),Yapılan Fauller,935.55,947.55,1,54.89,52.66,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),952.55,964.55,1,74.61,60.44,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,952.55,964.55,1,74.61,60.44,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),953.55,965.55,1,72.57,54.0,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,953.55,965.55,1,72.57,54.0,(2)_timeline
Caykur Rizespor (62850),Set Hücumları,956.55,967.55,1,74.61,60.44,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,956.55,968.55,1,57.04,56.1,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),956.55,968.55,1,57.04,56.1,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,956.55,968.55,1,57.04,56.1,(2)_timeline
Caykur Rizespor (62850),Top Kaybı,956.55,968.55,1,66.48,52.69,(2)_timeline
Caykur Rizespor (62850),Faul,959.55,971.55,1,77.35,42.17,(2)_timeline
Galatasaray (29205),Yapılan Fauller,959.55,971.55,1,77.35,42.17,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,1013.55,1025.55,1,25.14,33.33,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),1013.55,1025.55,1,25.14,33.33,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1013.55,1025.55,1,25.14,33.33,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,1016.55,1028.55,1,37.8,46.35,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1016.55,1028.55,1,37.8,46.35,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1016.55,1028.55,1,37.8,46.35,(2)_timeline
Galatasaray (29205),Set Hücumları,1017.55,1077.55,1,25.14,33.33,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),1025.55,1037.55,1,60.39,62.26,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1025.55,1037.55,1,60.39,62.26,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),1026.55,1038.55,1,64.81,54.24,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1026.55,1038.55,1,64.81,54.24,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1028.55,1040.55,1,58.35,59.5,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1028.55,1040.55,1,58.35,59.5,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1030.55,1042.55,1,46.65,45.69,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1030.55,1042.55,1,46.65,45.69,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1034.55,1046.55,1,49.51,17.02,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1034.55,1046.55,1,49.51,17.02,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),1036.55,1048.55,1,45.21,32.28,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1036.55,1048.55,1,45.21,32.28,(2)_timeline
Galatasaray (29205),Top Taşıma,1037.55,1049.55,1,46.88,45.03,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,1040.55,1052.55,1,63.25,47.4,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1040.55,1052.55,1,63.25,47.4,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1040.55,1052.55,1,63.25,47.4,(2)_timeline
Galatasaray (29205),İsabetli İlerletici Paslar,1040.55,1052.55,1,63.25,47.4,(2)_timeline
Galatasaray (29205),Başarılı İkili Mücadeleler,1041.55,1053.55,1,76.64,35.96,(2)_timeline
Caykur Rizespor (62850),Başarısız İkili Mücadeleler,1041.55,1053.55,1,76.64,35.96,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),1042.55,1054.55,1,74.01,38.33,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1042.55,1054.55,1,74.01,38.33,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,1045.55,1057.55,1,74.13,44.24,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),1045.55,1057.55,1,74.13,44.24,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1045.55,1057.55,1,74.13,44.24,(2)_timeline
Galatasaray (29205),3. Bölgede Başarılı Dripling,1048.55,1060.55,1,77.95,54.63,(2)_timeline
Galatasaray (29205),Başarılı driplingler,1048.55,1060.55,1,77.95,54.63,(2)_timeline
Galatasaray (29205),Başarılı İkili Mücadeleler,1048.55,1060.55,1,77.95,54.63,(2)_timeline
Caykur Rizespor (62850),Başarısız Top Kapma,1048.55,1060.55,1,77.95,54.63,(2)_timeline
Caykur Rizespor (62850),Başarısız İkili Mücadeleler,1048.55,1060.55,1,77.95,54.63,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1050.55,1062.55,1,76.64,46.74,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1050.55,1062.55,1,76.64,46.74,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,1054.55,1066.55,1,77.59,13.34,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),1054.55,1066.55,1,77.59,13.34,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1054.55,1066.55,1,77.59,13.34,(2)_timeline
Galatasaray (29205),İsabetli İlerletici Paslar,1054.55,1066.55,1,77.59,13.34,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),1057.55,1069.55,1,86.67,6.11,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1057.55,1069.55,1,86.67,6.11,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1060.55,1072.55,1,75.8,16.1,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1060.55,1072.55,1,75.8,16.1,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1062.55,1074.55,1,70.3,33.59,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1062.55,1074.55,1,70.3,33.59,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,1066.55,1078.55,1,85.0,63.83,(2)_timeline
Galatasaray (29205),Ceza sahasına / İsabetli,1066.55,1078.55,1,85.0,63.83,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1066.55,1078.55,1,85.0,63.83,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1066.55,1078.55,1,85.0,63.83,(2)_timeline
Galatasaray (29205),İsabetli İlerletici Paslar,1066.55,1078.55,1,85.0,63.83,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1068.55,1080.55,1,102.92,50.82,(2)_timeline
Galatasaray (29205),Top Kaybı,1068.55,1080.55,1,97.79,34.38,(2)_timeline
Galatasaray (29205),İsabetsiz paslar,1068.55,1080.55,1,102.92,50.82,(2)_timeline
Caykur Rizespor (62850),Geri Kazanılan Toplar,1069.55,1081.55,1,7.45,25.99,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),1069.55,1081.55,1,7.45,25.99,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,1069.55,1081.55,1,7.45,25.99,(2)_timeline
Caykur Rizespor (62850),Başarısız İleri Paslar,1071.55,1083.55,1,10.44,17.71,(2)_timeline
Caykur Rizespor (62850),Başarısız İlerletici Paslar,1071.55,1083.55,1,10.44,17.71,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),1071.55,1083.55,1,10.44,17.71,(2)_timeline
Caykur Rizespor (62850),Top Kaybı,1071.55,1083.55,1,37.68,0.0,(2)_timeline
Caykur Rizespor (62850),Top kayıpları / kendi yarı sahasında,1071.55,1083.55,1,37.68,0.0,(2)_timeline
Caykur Rizespor (62850),İsabetsiz paslar,1071.55,1083.55,1,10.44,17.71,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),1078.55,1090.55,1,76.88,68.0,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1078.55,1090.55,1,76.88,68.0,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,1081.55,1093.55,1,72.33,60.42,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),1081.55,1093.55,1,72.33,60.42,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1081.55,1093.55,1,72.33,60.42,(2)_timeline
Galatasaray (29205),Set Hücumları,1082.55,1100.55,1,76.88,68.0,(2)_timeline
Galatasaray (29205),Şutla biten set hücumları,1082.55,1100.55,1,76.88,68.0,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),1083.55,1095.55,1,79.86,62.52,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1083.55,1095.55,1,79.86,62.52,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,1084.55,1096.55,1,80.34,66.99,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1084.55,1096.55,1,80.34,66.99,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1084.55,1096.55,1,80.34,66.99,(2)_timeline
Galatasaray (29205),İsabetli İlerletici Paslar,1084.55,1096.55,1,80.34,66.99,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1088.55,1100.55,1,97.55,66.6,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1088.55,1100.55,1,97.55,66.6,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,1090.55,1102.55,1,80.46,65.15,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1090.55,1102.55,1,80.46,65.15,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,1090.55,1102.55,1,80.46,65.15,(2)_timeline
Galatasaray (29205),İsabetli Kilit Paslar,1090.55,1102.55,1,80.46,65.15,(2)_timeline
Galatasaray (29205),İsabetli Ortalar,1090.55,1102.55,1,80.46,65.15,(2)_timeline
Galatasaray (29205),İsabetli İlerletici Paslar,1090.55,1102.55,1,80.46,65.15,(2)_timeline
Galatasaray (29205),Başarılı hava topu mücadeleleri,1092.55,1104.55,1,100.18,35.56,(2)_timeline
Galatasaray (29205),Başarılı İkili Mücadeleler,1092.55,1104.55,1,100.18,35.56,(2)_timeline
Caykur Rizespor (62850),Başarısız İkili Mücadeleler,1092.55,1104.55,1,100.18,35.56,(2)_timeline
Galatasaray (29205),Gol,1092.55,1104.55,1,100.18,35.56,(2)_timeline
Caykur Rizespor (62850),Kaybedilen hava topu mücadeleleri,1092.55,1104.55,1,100.18,35.56,(2)_timeline
Galatasaray (29205),Pozisyonlar,1092.55,1104.55,1,100.18,35.56,(2)_timeline
Galatasaray (29205),İsabetli Şut,1092.55,1104.55,1,100.18,35.56,(2)_timeline
Galatasaray (29205),Şut,1092.55,1104.55,1,100.18,35.56,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),1170.55,1182.55,1,52.86,33.88,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,1170.55,1182.55,1,52.86,33.88,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),1172.55,1184.55,1,42.34,40.06,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,1172.55,1184.55,1,42.34,40.06,(2)_timeline
Caykur Rizespor (62850),Set Hücumları,1174.55,1213.55,1,52.86,33.88,(2)_timeline
Caykur Rizespor (62850),Şutla biten set hücumları,1174.55,1213.55,1,52.86,33.88,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),1175.55,1187.55,1,24.9,51.9,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,1175.55,1187.55,1,24.9,51.9,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),1178.55,1190.55,1,10.08,30.07,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,1178.55,1190.55,1,10.08,30.07,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,1182.55,1194.55,1,23.82,4.17,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,1182.55,1194.55,1,23.82,4.17,(2)_timeline
Caykur Rizespor (62850),Uzun Kale Vuruşları (40+ mt),1182.55,1194.55,1,23.82,4.17,(2)_timeline
Caykur Rizespor (62850),Uzun paslar,1182.55,1194.55,1,23.82,4.17,(2)_timeline
Caykur Rizespor (62850),İsabetli İlerletici Paslar,1182.55,1194.55,1,23.82,4.17,(2)_timeline
Caykur Rizespor (62850),Başarısız İleri Paslar,1184.55,1196.55,1,66.0,13.11,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),1184.55,1196.55,1,66.0,13.11,(2)_timeline
Caykur Rizespor (62850),İsabetsiz paslar,1184.55,1196.55,1,66.0,13.11,(2)_timeline
Galatasaray (29205),Başarısız İleri Paslar,1186.55,1198.55,1,31.71,50.55,(2)_timeline
Galatasaray (29205),Başarısız İlerletici Paslar,1186.55,1198.55,1,31.71,50.55,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),1186.55,1198.55,1,31.71,50.55,(2)_timeline
Galatasaray (29205),İsabetsiz paslar,1186.55,1198.55,1,31.71,50.55,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,1190.55,1202.55,1,46.17,25.73,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),1190.55,1202.55,1,46.17,25.73,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,1190.55,1202.55,1,46.17,25.73,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,1191.55,1203.55,1,54.77,33.62,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),1191.55,1203.55,1,54.77,33.62,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,1191.55,1203.55,1,54.77,33.62,(2)_timeline
Caykur Rizespor (62850),İsabetli İlerletici Paslar,1191.55,1203.55,1,54.77,33.62,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),1192.55,1204.55,1,64.21,22.18,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,1192.55,1204.55,1,64.21,22.18,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,1194.55,1206.55,1,58.35,21.13,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),1194.55,1206.55,1,58.35,21.13,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,1194.55,1206.55,1,58.35,21.13,(2)_timeline
Caykur Rizespor (62850),İsabetli İlerletici Paslar,1194.55,1206.55,1,58.35,21.13,(2)_timeline
Caykur Rizespor (62850),Başarısız Ceza Sahasına Paslar,1198.55,1210.55,1,81.3,9.43,(2)_timeline
Caykur Rizespor (62850),Başarısız İleri Paslar,1198.55,1210.55,1,81.3,9.43,(2)_timeline
Caykur Rizespor (62850),Başarısız İlerletici Paslar,1198.55,1210.55,1,81.3,9.43,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),1198.55,1210.55,1,81.3,9.43,(2)_timeline
Caykur Rizespor (62850),İsabetsiz Ortalar,1198.55,1210.55,1,81.3,9.43,(2)_timeline
Caykur Rizespor (62850),İsabetsiz paslar,1198.55,1210.55,1,81.3,9.43,(2)_timeline
Caykur Rizespor (62850),Ceza sahasına / İsabetli,1203.55,1215.55,1,89.06,9.69,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),1203.55,1215.55,1,89.06,9.69,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,1203.55,1215.55,1,89.06,9.69,(2)_timeline
Caykur Rizespor (62850),İsabetli Kilit Paslar,1203.55,1215.55,1,89.06,9.69,(2)_timeline
Caykur Rizespor (62850),İsabetli Ortalar,1203.55,1215.55,1,89.06,9.69,(2)_timeline
Caykur Rizespor (62850),Pozisyonlar,1204.55,1216.55,1,98.74,32.96,(2)_timeline
Caykur Rizespor (62850),İsabetsiz Şutlar,1204.55,1216.55,1,98.74,32.96,(2)_timeline
Caykur Rizespor (62850),Şut,1204.55,1216.55,1,98.74,32.96,(2)_timeline
Galatasaray (29205),Başarısız İleri Paslar,1228.55,1240.55,1,14.98,22.81,(2)_timeline
