ID;start;end;code;team;action;half;pos_x;pos_y
45;1367.55;1379.55;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;12.95;23.99
46;1541.55;1553.55;1. Uğurcan Çakır (235597) - İsabetsiz Şutlar;Galatasaray (29205);İsabetsiz Şutlar;1;89.78;37.43
47;1725.55;1737.55;75. Yahia Fofana (470003) - Başarısız Uzun Toplar;Caykur Rizespor (62850);Başarısız Uzun Toplar;1;4.35;37.56
48;1725.55;1737.55;75. Yahia Fofana (470003) - Kale Vuruşları;Caykur Rizespor (62850);Kale Vuruşları;1;4.35;37.56
49;1725.55;1737.55;75. Yahia Fofana (470003) - Uzun Kale Vuruşları (40+ mt);Caykur Rizespor (62850);Uzun Kale Vuruşları (40+ mt);1;4.35;37.56
50;1725.55;1737.55;75. Yahia Fofana (470003) - İsabetsiz paslar;Caykur Rizespor (62850);İsabetsiz paslar;1;4.35;37.56
51;1740.55;1752.55;75. Yahia Fofana (470003) - Başarısız Uzun Toplar;Caykur Rizespor (62850);Başarısız Uzun Toplar;1;5.66;38.62
52;1740.55;1752.55;75. Yahia Fofana (470003) - İsabetsiz paslar;Caykur Rizespor (62850);İsabetsiz paslar;1;5.66;38.62
53;1893.55;1905.55;75. Yahia Fofana (470003) - İsabetsiz Şutlar;Caykur Rizespor (62850);İsabetsiz Şutlar;1;94.92;18.86
54;2107.55;2119.55;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;7.81;33.49
55;2192.55;2204.55;75. Yahia Fofana (470003) - Kale Vuruşları;Caykur Rizespor (62850);Kale Vuruşları;1;5.06;33.62
56;2192.55;2204.55;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;5.06;33.62
57;2192.55;2204.55;75. Yahia Fofana (470003) - Uzun Kale Vuruşları (40+ mt);Caykur Rizespor (62850);Uzun Kale Vuruşları (40+ mt);1;5.06;33.62
58;2192.55;2204.55;75. Yahia Fofana (470003) - Uzun paslar;Caykur Rizespor (62850);Uzun paslar;1;5.06;33.62
59;2388.55;2400.55;1. Uğurcan Çakır (235597) - Serbest Vuruş Şutları;Galatasaray (29205);Serbest Vuruş Şutları;1;75.68;36.78
60;2576.55;2588.55;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;13.43;32.54
61;2576.55;2588.55;1. Uğurcan Çakır (235597) - Uzun paslar;Galatasaray (29205);Uzun paslar;1;13.43;32.54
62;2724.55;2736.55;1. Uğurcan Çakır (235597) - İsabetsiz Şutlar;Galatasaray (29205);İsabetsiz Şutlar;1;94.56;17.84
